tconst,averageRating,numVotes
tt0012494,7.6,7077
tt0012499,7.5,2209
tt0012532,7.3,5654
tt0012543,6.8,3406
tt0012570,7.4,4764
tt0012620,5.7,1519
tt0012642,6.8,1325
tt0012651,6.1,2184
tt0012675,6.2,3816
tt0012752,6.9,1219
tt0012763,7.1,2006
tt0012938,6.7,2445
tt0012945,6.8,3214
tt0012952,6.3,1605
tt0013025,7.6,7254
tt0013055,6.8,2841
tt0013075,7.0,1749
tt0013086,7.8,9609
tt0013099,7.2,3312
tt0013140,7.0,4236
tt0013158,6.5,2680
tt0013201,7.0,2158
tt0013257,7.6,18107
tt0013422,6.6,2556
tt0013427,7.6,13998
tt0013442,7.8,119158
tt0013486,7.4,5113
tt0013496,6.7,2040
tt0013556,7.0,2586
tt0013571,6.6,1290
tt0013579,6.6,1173
tt0013626,6.6,3133
tt0013750,6.5,1155
tt0013858,6.6,3379
tt0013933,7.4,1545
tt0014029,6.6,1240
tt0014109,7.0,1471
tt0014142,7.2,6465
tt0014205,6.3,1140
tt0014218,6.8,2699
tt0014341,7.7,13094
tt0014358,7.2,5944
tt0014406,6.4,2316
tt0014417,7.5,2688
tt0014429,8.1,24028
tt0014497,7.0,1163
tt0014532,6.8,2840
tt0014538,7.0,5544
tt0014586,6.5,2474
tt0014611,7.3,2155
tt0014624,6.9,6593
tt0014646,6.3,3027
tt0014694,6.7,3435
tt0014872,7.3,4353
tt0014900,6.2,1041
tt0014945,7.7,3828
tt0014972,7.7,4621
tt0015002,7.1,1676
tt0015014,7.2,1136
tt0015016,7.2,2647
tt0015039,6.9,1268
tt0015064,8.0,15952
tt0015116,6.7,1181
tt0015119,7.0,1591
tt0015136,7.1,2165
tt0015163,7.5,11658
tt0015167,6.4,1172
tt0015174,7.9,5301
tt0015175,8.1,6939
tt0015202,7.0,3680
tt0015214,7.1,2061
tt0015224,7.1,1399
tt0015324,8.2,62280
tt0015361,7.6,9096
tt0015384,6.0,1537
tt0015400,7.7,7371
tt0015532,7.8,7367
tt0015624,7.9,7602
tt0015634,6.2,1264
tt0015648,7.9,63460
tt0015673,7.1,1539
