tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0068814,movie,Koziyat rog,Koziyat rog,0.0,1972.0,,105.0,Drama,8.2,2984
tt0068815,movie,Lone Wolf and Cub: Sword of Vengeance,Kozure Ôkami: Ko o kashi ude kashi tsukamatsuru,0.0,1972.0,,84.0,"Action,Adventure",7.7,9341
tt0068816,movie,Lone Wolf and Cub: Baby Cart at the River Styx,Kozure Ôkami: Sanzu no kawa no ubaguruma,0.0,1972.0,,81.0,"Action,Adventure,Drama",7.9,7201
tt0068817,movie,Lone Wolf and Cub: Baby Cart to Hades,Kozure Ôkami: Shinikaze ni mukau ubaguruma,0.0,1972.0,,89.0,"Action,Drama",7.5,5900
tt0068828,movie,Lady Sings the Blues,Lady Sings the Blues,0.0,1972.0,,144.0,"Biography,Drama,Music",7.0,5085
tt0068833,movie,The Last House on the Left,The Last House on the Left,0.0,1972.0,,84.0,"Crime,Horror,Thriller",5.8,42101
tt0068837,movie,The Legend of Boggy Creek,The Legend of Boggy Creek,0.0,1972.0,,87.0,"Drama,Horror,Mystery",5.2,3839
tt0068850,movie,Love and Pain and the Whole Damn Thing,Love and Pain and the Whole Damn Thing,0.0,1973.0,,110.0,"Comedy,Drama,Romance",6.6,1033
tt0068853,movie,The Life and Times of Judge Roy Bean,The Life and Times of Judge Roy Bean,0.0,1972.0,,120.0,"Comedy,Drama,Romance",6.8,9834
tt0068863,movie,Lisa and the Devil,Lisa e il diavolo,0.0,1973.0,,95.0,"Horror,Mystery",6.2,5727
tt0068883,movie,Ludwig,Ludwig,0.0,1973.0,,238.0,"Biography,Drama,History",7.5,6301
tt0068897,movie,The Magnificent Seven Ride!,The Magnificent Seven Ride!,0.0,1972.0,,100.0,"Action,Drama,Western",5.6,3705
tt0068902,movie,The Italian Connection,La mala ordina,0.0,1972.0,,95.0,"Action,Crime,Thriller",7.1,3116
tt0068909,movie,Man of La Mancha,Man of La Mancha,0.0,1972.0,,132.0,"Drama,Fantasy,Musical",6.5,5009
tt0068916,movie,The Man Who Quit Smoking,Mannen som slutade röka,0.0,1972.0,,104.0,Comedy,6.5,1577
tt0068918,movie,Manson,Manson,0.0,1973.0,,83.0,"Biography,Crime,Documentary",7.2,1163
tt0068920,movie,Antony and Cleopatra,Antony and Cleopatra,0.0,1972.0,,160.0,"Drama,History",5.8,1320
tt0068924,movie,Marjoe,Marjoe,0.0,1972.0,,88.0,"Biography,Documentary",7.4,1824
tt0068931,movie,The Mechanic,The Mechanic,0.0,1972.0,,100.0,"Action,Crime,Thriller",6.8,17226
tt0068935,movie,The Way of the Dragon,Meng long guo jiang,0.0,1972.0,,90.0,"Action,Adventure,Comedy",7.2,43092
tt0068939,movie,Days of '36,Meres tou '36,0.0,1972.0,,105.0,"Drama,History",6.8,1247
tt0068950,movie,The Seduction of Mimi,Mimì metallurgico ferito nell'onore,0.0,1972.0,,108.0,"Comedy,Drama",7.3,4144
tt0068954,movie,The Dragon Strikes Back,Il mio nome è Shangai Joe,0.0,1973.0,,98.0,"Action,Drama,Western",5.7,1196
tt0068971,movie,Death Walks at Midnight,La morte accarezza a mezzanotte,0.0,1972.0,,102.0,"Crime,Horror,Mystery",6.3,2287
tt0068972,movie,Death Smiles on a Murderer,La morte ha sorriso all'assassino,0.0,1973.0,,88.0,"Drama,Horror,Mystery",5.7,1768
tt0068981,movie,Mutiny on the Buses,Mutiny on the Buses,0.0,1972.0,,89.0,Comedy,5.8,1599
tt0068983,movie,My Childhood,My Childhood,0.0,1972.0,,46.0,"Biography,Drama",7.3,1449
tt0068990,movie,Napoleon and Samantha,Napoleon and Samantha,0.0,1972.0,,92.0,"Adventure,Drama",6.0,1154
tt0068994,movie,Necromancy,Necromancy,0.0,1972.0,,83.0,Horror,4.6,1130
tt0068997,movie,The New Centurions,The New Centurions,0.0,1972.0,,103.0,"Action,Crime,Drama",7.0,3629
tt0069005,movie,Night of the Lepus,Night of the Lepus,0.0,1972.0,,88.0,"Drama,Horror,Sci-Fi",4.1,5681
tt0069007,movie,The Nightcomers,The Nightcomers,0.0,1971.0,,96.0,"Drama,Horror,Thriller",5.8,3074
tt0069013,movie,No Way Out,Tony Arzenta (Big Guns),0.0,1973.0,,90.0,"Action,Crime,Drama",6.7,2782
tt0069017,movie,Night of the Devils,La notte dei diavoli,0.0,1972.0,,91.0,"Horror,Mystery,Thriller",6.5,1753
tt0069019,movie,Don't Torture a Duckling,Non si sevizia un paperino,0.0,1972.0,,105.0,"Horror,Mystery,Thriller",7.0,11737
tt0069024,movie,Nothing But the Night,Nothing But the Night,0.0,1973.0,,90.0,"Crime,Horror,Mystery",5.5,2228
tt0069027,movie,We Won't Grow Old Together,Nous ne vieillirons pas ensemble,0.0,1972.0,,110.0,Drama,7.2,2280
tt0069029,movie,The Blood Spattered Bride,La novia ensangrentada,0.0,1972.0,,82.0,"Horror,Mystery",6.2,2583
tt0069031,movie,"Now You See Him, Now You Don't","Now You See Him, Now You Don't",0.0,1972.0,,88.0,"Comedy,Family,Sci-Fi",6.2,2422
tt0069035,movie,The New Land,Nybyggarna,0.0,1972.0,,102.0,"Drama,Western",8.0,5618
tt0069041,movie,Blue Eyes of the Broken Doll,Los ojos azules de la muñeca rota,0.0,1974.0,,89.0,"Crime,Horror,Mystery",6.0,1294
tt0069042,movie,The Olsen Gang's Big Score,Olsen-bandens store kup,0.0,1972.0,,99.0,"Comedy,Crime,Family",6.7,1987
tt0069046,movie,The Hanging Woman,La orgía de los muertos,0.0,1973.0,,98.0,Horror,5.6,1019
tt0069047,movie,The Vampires Night Orgy,La orgía nocturna de los vampiros,0.0,1973.0,,84.0,Horror,4.9,1030
tt0069048,movie,Baron Blood,Gli orrori del castello di Norimberga,0.0,1972.0,,90.0,Horror,5.9,4534
tt0069049,movie,The Other Side of the Wind,The Other Side of the Wind,0.0,2018.0,,122.0,Drama,6.7,8317
tt0069050,movie,The Other,The Other,0.0,1972.0,,108.0,"Drama,Horror,Mystery",6.8,7535
tt0069067,movie,Payday,Payday,0.0,1973.0,,103.0,"Drama,Music",7.1,1068
tt0069073,movie,The Case of the Bloody Iris,Perché quelle strane gocce di sangue sul corpo di Jennifer?,0.0,1972.0,,95.0,"Crime,Horror,Mystery",6.4,3656
tt0069080,movie,Pete 'n' Tillie,Pete 'n' Tillie,0.0,1972.0,,100.0,"Comedy,Drama,Romance",6.2,1226
tt0069089,movie,Pink Flamingos,Pink Flamingos,0.0,1972.0,,93.0,"Comedy,Crime",6.0,29703
tt0069090,movie,Pink Floyd: Live at Pompeii,Pink Floyd: Live at Pompeii,0.0,1972.0,,92.0,"Documentary,Music",8.6,10923
tt0069095,movie,All the Way Boys,...Più forte ragazzi!,0.0,1972.0,,105.0,"Action,Adventure,Comedy",6.6,7915
tt0069097,movie,"Play It Again, Sam","Play It Again, Sam",0.0,1972.0,,85.0,"Comedy,Romance",7.6,28802
tt0069103,movie,Pocket Money,Pocket Money,0.0,1972.0,,102.0,"Comedy,Drama,Western",5.4,2076
tt0069113,movie,The Poseidon Adventure,The Poseidon Adventure,0.0,1972.0,,117.0,"Action,Adventure,Drama",7.1,52050
tt0069120,movie,Indian Summer,La prima notte di quiete,0.0,1972.0,,132.0,"Drama,Romance",7.1,3179
tt0069121,movie,Prime Cut,Prime Cut,0.0,1972.0,,88.0,"Action,Crime,Drama",6.7,6474
tt0069124,movie,Private Parts,Private Parts,0.0,1972.0,,87.0,"Comedy,Horror,Mystery",6.4,1986
tt0069134,movie,Pulp,Pulp,0.0,1972.0,,95.0,"Comedy,Crime,Drama",5.9,3052
tt0069141,movie,Four Times That Night,Quante volte... quella notte,0.0,1971.0,,83.0,"Comedy,Romance",5.7,1063
tt0069158,movie,Rage,Rage,0.0,1972.0,,100.0,"Drama,Mystery,Thriller",6.3,1452
tt0069159,movie,"A Reason to Live, a Reason to Die",Una ragione per vivere e una per morire,0.0,1972.0,,92.0,"Drama,Western",6.1,2415
tt0069172,movie,Reminiscences of a Journey to Lithuania,Reminiscences of a Journey to Lithuania,0.0,1972.0,,88.0,Documentary,7.5,1321
tt0069179,movie,The Revengers,The Revengers,0.0,1972.0,,106.0,"Drama,Western",6.1,1525
tt0069186,movie,The Slasher ... Is the Sex Maniac!,Rivelazioni di un maniaco sessuale al capo della squadra mobile,0.0,1972.0,,88.0,"Crime,Drama,Horror",6.0,1258
tt0069191,movie,Fellini's Roma,Roma,0.0,1972.0,,120.0,"Comedy,Drama",7.3,14407
tt0069197,movie,The Call of the Wild,The Call of the Wild,0.0,1972.0,,100.0,"Adventure,Family,Western",5.9,2103
tt0069198,movie,The Ruling Class,The Ruling Class,0.0,1972.0,,154.0,"Comedy,Drama,Musical",7.2,7070
tt0069219,movie,Without Apparent Motive,Sans mobile apparent,0.0,1971.0,,100.0,"Crime,Mystery,Thriller",6.3,1024
tt0069225,movie,Savage Messiah,Savage Messiah,0.0,1972.0,,97.0,"Biography,Drama",6.9,1803
tt0069229,movie,Treasure Island,Treasure Island,0.0,1972.0,,94.0,"Adventure,Drama,Family",5.8,1612
tt0069235,movie,The Scopone Game,Lo scopone scientifico,0.0,1972.0,,113.0,"Comedy,Drama",7.5,2769
tt0069236,movie,Score,Score,1.0,1973.0,,90.0,"Adult,Comedy,Drama",5.8,1410
tt0069237,movie,Scoumoune,La Scoumoune,0.0,1972.0,,101.0,"Crime,Drama",6.1,1463
tt0069239,movie,Season of the Witch,Hungry Wives,0.0,1972.0,,130.0,"Drama,Horror",5.6,4178
tt0069243,movie,Someone Is Bleeding,Les seins de glace,0.0,1974.0,,105.0,"Drama,Mystery,Thriller",5.7,1163
tt0069251,movie,The Serpent,Le serpent,0.0,1973.0,,113.0,"Drama,Thriller",6.2,1291
tt0069253,movie,The Crimes of the Black Cat,Sette scialli di seta gialla,0.0,1972.0,,96.0,"Crime,Horror,Mystery",6.1,1114
tt0069257,movie,Shaft's Big Score!,Shaft's Big Score!,0.0,1972.0,,104.0,"Action,Crime,Drama",6.0,3759
tt0069270,movie,Escape to Nowhere,Le silencieux,0.0,1973.0,,117.0,"Drama,Thriller",6.9,1127
tt0069273,movie,Sitting Target,Sitting Target,0.0,1972.0,,93.0,"Action,Crime,Drama",6.6,1626
tt0069278,movie,Skyjacked,Skyjacked,0.0,1972.0,,101.0,"Action,Drama,Thriller",5.7,2549
tt0069279,movie,Slaughter,Slaughter,0.0,1972.0,,92.0,"Action,Crime,Drama",5.9,1434
tt0069280,movie,Slaughterhouse-Five,Slaughterhouse-Five,0.0,1972.0,,104.0,"Comedy,Drama,Sci-Fi",6.8,14347
tt0069281,movie,Sleuth,Sleuth,0.0,1972.0,,138.0,"Mystery,Thriller",7.9,51533
tt0069282,movie,Slither,Slither,0.0,1973.0,,97.0,"Comedy,Crime,Thriller",6.2,1786
tt0069289,movie,Snoopy Come Home,Snoopy Come Home,0.0,1972.0,,80.0,"Adventure,Animation,Comedy",7.3,5453
tt0069291,movie,Snowball Express,Snowball Express,0.0,1972.0,,93.0,"Comedy,Family",6.3,2175
tt0069293,movie,Solaris,Solyaris,0.0,1972.0,,167.0,"Drama,Mystery,Sci-Fi",7.9,102109
tt0069303,movie,Sounder,Sounder,0.0,1972.0,,105.0,"Drama,Family",7.5,5115
tt0069311,movie,Steptoe & Son,Steptoe & Son,0.0,1972.0,,98.0,"Comedy,Romance",6.5,1917
tt0069318,movie,Straight on Till Morning,Straight on Till Morning,0.0,1972.0,,96.0,Thriller,5.7,1577
tt0069332,movie,Super Fly,Super Fly,0.0,1972.0,,91.0,"Action,Crime,Drama",6.4,8974
tt0069341,movie,Tales from the Crypt,Tales from the Crypt,0.0,1972.0,,92.0,"Drama,Horror,Mystery",6.8,13860
tt0069343,movie,Black Belly of the Tarantula,La tarantola dal ventre nero,0.0,1971.0,,89.0,"Horror,Mystery,Thriller",6.3,3847
tt0069358,movie,Ecstasy of the Angels,Tenshi no kôkotsu,0.0,1972.0,,89.0,"Action,Drama,Mystery",6.2,1119
tt0069369,movie,Themroc,Themroc,0.0,1973.0,,100.0,Comedy,6.9,1762
tt0069371,movie,They Only Kill Their Masters,They Only Kill Their Masters,0.0,1972.0,,97.0,"Mystery,Romance,Thriller",6.2,1279
tt0069372,movie,The Thing with Two Heads,The Thing with Two Heads,0.0,1972.0,,91.0,"Comedy,Sci-Fi",4.5,3038
tt0069383,movie,Tintin and the Lake of Sharks,Tintin et le lac aux requins,0.0,1972.0,,81.0,"Adventure,Animation,Crime",6.2,3165
tt0069390,movie,They're Coming to Get You!,Tutti i colori del buio,0.0,1972.0,,87.0,"Horror,Thriller",6.6,5095
